"lang"
{
"Language" "Français (French)"
"AmmoCheck.Alt1.Full" "Mon chargeur est plein."
"AmmoCheck.Alt1.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Alt1.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Alt1.Half" "Chargeur à moitié rempli."
"AmmoCheck.Alt1.15" "Il me reste quinze balles."
"AmmoCheck.Alt1.14" "Il me reste quatorze balles."
"AmmoCheck.Alt1.13" "Il me reste treize balles."
"AmmoCheck.Alt1.12" "Il me reste douze balles."
"AmmoCheck.Alt1.11" "Il me reste onze balles."
"AmmoCheck.Alt1.10" "Il me reste dix balles."
"AmmoCheck.Alt1.9" "Il me reste neuf balles!"
"AmmoCheck.Alt1.8" "Il me reste huit balles!"
"AmmoCheck.Alt1.7" "Il me reste sept balles!"
"AmmoCheck.Alt1.6" "Il me reste six balles!"
"AmmoCheck.Alt1.5" "Il me reste cinq balles!"
"AmmoCheck.Alt1.4" "Il me reste quatre balles!"
"AmmoCheck.Alt1.3" "Il me reste trois balles!"
"AmmoCheck.Alt1.2" "Il me reste deux balles!"
"AmmoCheck.Alt1.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Alt1.0" "Je n'ai plus de munition!"

"AmmoCheck.Default.Full" "Mon chargeur est plein."
"AmmoCheck.Default.AlmostFull" "Mon chargeur est quasiment remplie."
"AmmoCheck.Default.OverHalf" "Chargeur rempli à plus de la moitié."
"AmmoCheck.Default.Half" "Chargeur à moitié rempli."
"AmmoCheck.Default.15" "Il me reste quinze balles."
"AmmoCheck.Default.14" "Il me reste quatorze balles."
"AmmoCheck.Default.13" "Il me reste treize balles."
"AmmoCheck.Default.12" "Il me reste douze balles."
"AmmoCheck.Default.11" "Il me reste onze balles."
"AmmoCheck.Default.10" "Il me reste dix balles."
"AmmoCheck.Default.9" "Il me reste neuf balles!"
"AmmoCheck.Default.8" "Il me reste huit balles!"
"AmmoCheck.Default.7" "Il me reste sept balles!"
"AmmoCheck.Default.6" "Il me reste six balles!"
"AmmoCheck.Default.5" "Il me reste cinq balles!"
"AmmoCheck.Default.4" "Il me reste quatre balles!"
"AmmoCheck.Default.3" "Il me reste trois balles!"
"AmmoCheck.Default.2" "Il me reste deux balles!"
"AmmoCheck.Default.1" "Il ne me reste qu'une balle!"
"AmmoCheck.Default.0" "Je n'ai plus de munition!"

//voice commands

"VoiceCommand.Alt1.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt1.Follow" "Suivez-moi!"
"VoiceCommand.Alt1.Help" "À l'aide!"
"VoiceCommand.Alt1.No" "Non!"
"VoiceCommand.Alt1.Yes" "Oui!"
"VoiceCommand.Alt1.Stay" "Restez ici!"
"VoiceCommand.Alt1.ThankYou" "Merci!"
"VoiceCommand.Alt1.Incoming" "Ils arrivent!"
"VoiceCommand.Alt1.Injured" "Je suis blessé!"
"VoiceCommand.Alt1.FireInTheHole" "À couvert!"

"VoiceCommand.Alt2.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt2.Follow" "Suivez-moi!"
"VoiceCommand.Alt2.Help" "À l'aide!"
"VoiceCommand.Alt2.No" "Non!"
"VoiceCommand.Alt2.Yes" "Oui!"
"VoiceCommand.Alt2.Stay" "Restez ici!"
"VoiceCommand.Alt2.ThankYou" "Merci!"
"VoiceCommand.Alt2.Incoming" "Ils arrivent!"
"VoiceCommand.Alt2.Injured" "Je suis blessé!"
"VoiceCommand.Alt2.FireInTheHole" "À couvert!"

"VoiceCommand.Alt3.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt3.Follow" "Suivez-moi!"
"VoiceCommand.Alt3.Help" "À l'aide!"
"VoiceCommand.Alt3.No" "Non!"
"VoiceCommand.Alt3.Yes" "Oui!"
"VoiceCommand.Alt3.Stay" "Restez ici!"
"VoiceCommand.Alt3.ThankYou" "Merci!"
"VoiceCommand.Alt3.Incoming" "Ils arrivent!"
"VoiceCommand.Alt3.Injured" "Je suis blessé!"
"VoiceCommand.Alt3.FireInTheHole" "À couvert!"

"VoiceCommand.Alt4.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt4.Follow" "Suivez-moi!"
"VoiceCommand.Alt4.Help" "À l'aide!"
"VoiceCommand.Alt4.No" "Non!"
"VoiceCommand.Alt4.Yes" "Oui!"
"VoiceCommand.Alt4.Stay" "Restez ici!"
"VoiceCommand.Alt4.ThankYou" "Merci!"
"VoiceCommand.Alt4.Incoming" "Ils arrivent!"
"VoiceCommand.Alt4.Injured" "Je suis blessé!"
"VoiceCommand.Alt4.FireInTheHole" "À couvert!"

"VoiceCommand.Alt5.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt5.Follow" "Suivez-moi!"
"VoiceCommand.Alt5.Help" "À l'aide!"
"VoiceCommand.Alt5.No" "Non!"
"VoiceCommand.Alt5.Yes" "Oui!"
"VoiceCommand.Alt5.Stay" "Restez ici!"
"VoiceCommand.Alt5.ThankYou" "Merci!"
"VoiceCommand.Alt5.Incoming" "Ils arrivent!"
"VoiceCommand.Alt5.Injured" "Je suis blessé!"
"VoiceCommand.Alt5.FireInTheHole" "À couvert!"

"VoiceCommand.Alt6.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt6.Follow" "Suivez-moi!"
"VoiceCommand.Alt6.Help" "À l'aide!"
"VoiceCommand.Alt6.No" "Non!"
"VoiceCommand.Alt6.Yes" "Oui!"
"VoiceCommand.Alt6.Stay" "Restez ici!"
"VoiceCommand.Alt6.ThankYou" "Merci!"
"VoiceCommand.Alt6.Incoming" "Ils arrivent!"
"VoiceCommand.Alt6.Injured" "Je suis blessé!"
"VoiceCommand.Alt6.FireInTheHole" "À couvert!"

"VoiceCommand.Alt7.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Alt7.Follow" "Suivez-moi!"
"VoiceCommand.Alt7.Help" "À l'aide!"
"VoiceCommand.Alt7.No" "Non!"
"VoiceCommand.Alt7.Yes" "Oui!"
"VoiceCommand.Alt7.Stay" "Restez ici!"
"VoiceCommand.Alt7.ThankYou" "Merci!"
"VoiceCommand.Alt7.Incoming" "Ils arrivent!"
"VoiceCommand.Alt7.Injured" "Je suis blessé!"
"VoiceCommand.Alt7.FireInTheHole" "À couvert!"

"VoiceCommand.FemaleDefault.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.FemaleDefault.Follow" "Suivez-moi!"
"VoiceCommand.FemaleDefault.Help" "À l'aide!"
"VoiceCommand.FemaleDefault.No" "Non!"
"VoiceCommand.FemaleDefault.Yes" "Oui!"
"VoiceCommand.FemaleDefault.Stay" "Restez ici!"
"VoiceCommand.FemaleDefault.ThankYou" "Merci!"
"VoiceCommand.FemaleDefault.Incoming" "Ils arrivent!"
"VoiceCommand.FemaleDefault.Injured" "Je suis blessé!"
"VoiceCommand.FemaleDefault.FireInTheHole" "À couvert!"

"VoiceCommand.Default.Ammo" "J'ai besoin de munitions!"
"VoiceCommand.Default.Follow" "Suivez-moi!"
"VoiceCommand.Default.Help" "À l'aide!"
"VoiceCommand.Default.No" "Non!"
"VoiceCommand.Default.Yes" "Oui!"
"VoiceCommand.Default.Stay" "Restez ici!"
"VoiceCommand.Default.ThankYou" "Merci!"
"VoiceCommand.Default.Incoming" "Ils arrivent!"
"VoiceCommand.Default.Injured" "Je suis blessé!"
"VoiceCommand.Default.FireInTheHole" "À couvert!"



//reserve ammo check for magazines
// 'X magazines remaining'

"Reload.Alt1.Mag30" "Trente chargeurs restants!"
"Reload.Alt1.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt1.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt1.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt1.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt1.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt1.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt1.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt1.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt1.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt1.Mag20" "Vingt chargeurs restants!"
"Reload.Alt1.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt1.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt1.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt1.Mag16" "Seize chargeurs restants!"
"Reload.Alt1.Mag15" "Quinze chargeurs restants!"
"Reload.Alt1.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt1.Mag13" "Treize chargeurs restants!"
"Reload.Alt1.Mag12" "Douze chargeurs restants!"
"Reload.Alt1.Mag11" "Onze chargeurs restants!"
"Reload.Alt1.Mag10" "Dix chargeurs restants!"
"Reload.Alt1.Mag9" "Neuf chargeurs restants!"
"Reload.Alt1.Mag8" "Huit chargeurs restants!"
"Reload.Alt1.Mag7" "Sept chargeurs restants!"
"Reload.Alt1.Mag6" "Six chargeurs restants!"
"Reload.Alt1.Mag5" "Cinq chargeurs restants!"
"Reload.Alt1.Mag4" "Quatre chargeurs restants!"
"Reload.Alt1.Mag3" "Trois chargeurs restants!"
"Reload.Alt1.Mag2" "Deux chargeurs restants!"
"Reload.Alt1.Mag1" "Un chargeur restant!"
"Reload.Alt1.Mag0" "Zéro chargeur restant!"

"Reload.Alt2.Mag30" "Trente chargeurs restants!"
"Reload.Alt2.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt2.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt2.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt2.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt2.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt2.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt2.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt2.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt2.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt2.Mag20" "Vingt chargeurs restants!"
"Reload.Alt2.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt2.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt2.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt2.Mag16" "Seize chargeurs restants!"
"Reload.Alt2.Mag15" "Quinze chargeurs restants!"
"Reload.Alt2.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt2.Mag13" "Treize chargeurs restants!"
"Reload.Alt2.Mag12" "Douze chargeurs restants!"
"Reload.Alt2.Mag11" "Onze chargeurs restants!"
"Reload.Alt2.Mag10" "Dix chargeurs restants!"
"Reload.Alt2.Mag9" "Neuf chargeurs restants!"
"Reload.Alt2.Mag8" "Huit chargeurs restants!"
"Reload.Alt2.Mag7" "Sept chargeurs restants!"
"Reload.Alt2.Mag6" "Six chargeurs restants!"
"Reload.Alt2.Mag5" "Cinq chargeurs restants!"
"Reload.Alt2.Mag4" "Quatre chargeurs restants!"
"Reload.Alt2.Mag3" "Trois chargeurs restants!"
"Reload.Alt2.Mag2" "Deux chargeurs restants!"
"Reload.Alt2.Mag1" "Un chargeur restant!"
"Reload.Alt2.Mag0" "Zéro chargeur restant!"

"Reload.Alt3.Mag30" "Trente chargeurs restants!"
"Reload.Alt3.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt3.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt3.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt3.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt3.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt3.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt3.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt3.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt3.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt3.Mag20" "Vingt chargeurs restants!"
"Reload.Alt3.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt3.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt3.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt3.Mag16" "Seize chargeurs restants!"
"Reload.Alt3.Mag15" "Quinze chargeurs restants!"
"Reload.Alt3.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt3.Mag13" "Treize chargeurs restants!"
"Reload.Alt3.Mag12" "Douze chargeurs restants!"
"Reload.Alt3.Mag11" "Onze chargeurs restants!"
"Reload.Alt3.Mag10" "Dix chargeurs restants!"
"Reload.Alt3.Mag9" "Neuf chargeurs restants!"
"Reload.Alt3.Mag8" "Huit chargeurs restants!"
"Reload.Alt3.Mag7" "Sept chargeurs restants!"
"Reload.Alt3.Mag6" "Six chargeurs restants!"
"Reload.Alt3.Mag5" "Cinq chargeurs restants!"
"Reload.Alt3.Mag4" "Quatre chargeurs restants!"
"Reload.Alt3.Mag3" "Trois chargeurs restants!"
"Reload.Alt3.Mag2" "Deux chargeurs restants!"
"Reload.Alt3.Mag1" "Un chargeur restant!"
"Reload.Alt3.Mag0" "Zéro chargeur restant!"

"Reload.Alt4.Mag30" "Trente chargeurs restants!"
"Reload.Alt4.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt4.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt4.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt4.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt4.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt4.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt4.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt4.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt4.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt4.Mag20" "Vingt chargeurs restants!"
"Reload.Alt4.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt4.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt4.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt4.Mag16" "Seize chargeurs restants!"
"Reload.Alt4.Mag15" "Quinze chargeurs restants!"
"Reload.Alt4.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt4.Mag13" "Treize chargeurs restants!"
"Reload.Alt4.Mag12" "Douze chargeurs restants!"
"Reload.Alt4.Mag11" "Onze chargeurs restants!"
"Reload.Alt4.Mag10" "Dix chargeurs restants!"
"Reload.Alt4.Mag9" "Neuf chargeurs restants!"
"Reload.Alt4.Mag8" "Huit chargeurs restants!"
"Reload.Alt4.Mag7" "Sept chargeurs restants!"
"Reload.Alt4.Mag6" "Six chargeurs restants!"
"Reload.Alt4.Mag5" "Cinq chargeurs restants!"
"Reload.Alt4.Mag4" "Quatre chargeurs restants!"
"Reload.Alt4.Mag3" "Trois chargeurs restants!"
"Reload.Alt4.Mag2" "Deux chargeurs restants!"
"Reload.Alt4.Mag1" "Un chargeur restant!"
"Reload.Alt4.Mag0" "Zéro chargeur restant!"

"Reload.Alt5.Mag30" "Trente chargeurs restants!"
"Reload.Alt5.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt5.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt5.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt5.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt5.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt5.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt5.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt5.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt5.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt5.Mag20" "Vingt chargeurs restants!"
"Reload.Alt5.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt5.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt5.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt5.Mag16" "Seize chargeurs restants!"
"Reload.Alt5.Mag15" "Quinze chargeurs restants!"
"Reload.Alt5.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt5.Mag13" "Treize chargeurs restants!"
"Reload.Alt5.Mag12" "Douze chargeurs restants!"
"Reload.Alt5.Mag11" "Onze chargeurs restants!"
"Reload.Alt5.Mag10" "Dix chargeurs restants!"
"Reload.Alt5.Mag9" "Neuf chargeurs restants!"
"Reload.Alt5.Mag8" "Huit chargeurs restants!"
"Reload.Alt5.Mag7" "Sept chargeurs restants!"
"Reload.Alt5.Mag6" "Six chargeurs restants!"
"Reload.Alt5.Mag5" "Cinq chargeurs restants!"
"Reload.Alt5.Mag4" "Quatre chargeurs restants!"
"Reload.Alt5.Mag3" "Trois chargeurs restants!"
"Reload.Alt5.Mag2" "Deux chargeurs restants!"
"Reload.Alt5.Mag1" "Un chargeur restant!"
"Reload.Alt5.Mag0" "Zéro chargeur restant!"

"Reload.Alt6.Mag30" "Trente chargeurs restants!"
"Reload.Alt6.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt6.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt6.Mag27" "Vingt-sept chargeurs restants!"
"Reload.Alt6.Mag26" "Vingt-six chargeurs restants!"
"Reload.Alt6.Mag25" "Vingt-cinq chargeurs restants!"
"Reload.Alt6.Mag24" "Vingt-quatre chargeurs restants!"
"Reload.Alt6.Mag23" "Vingt-trois chargeurs restants!"
"Reload.Alt6.Mag22" "Vingt-deux chargeurs restants!"
"Reload.Alt6.Mag21" "Vingt-et-un chargeurs restants!"
"Reload.Alt6.Mag20" "Vingt chargeurs restants!"
"Reload.Alt6.Mag19" "Dix-neuf chargeurs restants!"
"Reload.Alt6.Mag18" "Dix-huit chargeurs restants!"
"Reload.Alt6.Mag17" "Dix-sept chargeurs restants!"
"Reload.Alt6.Mag16" "Seize chargeurs restants!"
"Reload.Alt6.Mag15" "Quinze chargeurs restants!"
"Reload.Alt6.Mag14" "Quatorze chargeurs restants!"
"Reload.Alt6.Mag13" "Treize chargeurs restants!"
"Reload.Alt6.Mag12" "Douze chargeurs restants!"
"Reload.Alt6.Mag11" "Onze chargeurs restants!"
"Reload.Alt6.Mag10" "Dix chargeurs restants!"
"Reload.Alt6.Mag9" "Neuf chargeurs restants!"
"Reload.Alt6.Mag8" "Huit chargeurs restants!"
"Reload.Alt6.Mag7" "Sept chargeurs restants!"
"Reload.Alt6.Mag6" "Six chargeurs restants!"
"Reload.Alt6.Mag5" "Cinq chargeurs restants!"
"Reload.Alt6.Mag4" "Quatre chargeurs restants!"
"Reload.Alt6.Mag3" "Trois chargeurs restants!"
"Reload.Alt6.Mag2" "Deux chargeurs restants!"
"Reload.Alt6.Mag1" "Un chargeur restant!"
"Reload.Alt6.Mag0" "Zéro chargeur restant!"

"Reload.Alt7.Mag30" "Trente chargeurs restants!"
"Reload.Alt7.Mag29" "Vingt-neuf chargeurs restants!"
"Reload.Alt7.Mag28" "Vingt-huit chargeurs restants!"
"Reload.Alt7.Mag27" "Vingt-sept chargeurs restants!"
